Date,Company Name,IPO Open,High Stock,Low Stock,IPO Close,Shares Traded,Turnover (Crore),Subcategory,Category
10/20/2024,JPMorgan Chase & Co.,67.99,701.45,270.27,874.39,5896,439.52,Nifty 50,Large Cap
11/12/2023,L’Oréal,299.88,1177.08,341.04,441.11,9567,186.76,Nifty MidSmall 40,Small Cap
2/17/2024,Adobe Inc.,1239.32,1681.36,588.29,1226.84,6186,153.93,Nifty Small Cap 50,Small Cap
3/9/2024,Abbott Laboratories,536.06,893.92,538.35,614.6,6391,491.62,Nifty 100,Mid Cap
1/2/2023,Lockheed Martin,188.42,1683.02,1019.42,396.97,8799,16.54,Nifty 100,Small Cap
5/25/2023,Paychex Inc.,1188.25,1488.84,385.08,857.29,8065,160.46,Nifty 50,Large Cap
1/1/2024,Spotify Technology SA,709.15,1853.6,108.19,469.1,629,229.82,Nifty Next 50,Large Cap
2/24/2024,Coca-Cola Co.,764,752.79,105.96,624.43,2338,156.13,Nifty Small Cap 50,Large Cap
7/26/2024,Prudential Financial,320.24,344.3,45.5,1055.08,6176,141.8,Nifty Next 50,Small Cap
7/14/2024,Verizon Communications,1008.3,946.15,82.1,1494.12,505,185.97,Nifty Next 50,Small Cap
3/19/2024,Berkshire Hathaway,849.3,1603.75,1206.37,984.86,4283,199.63,Nifty Small Cap 50,Mid Cap
3/9/2024,SAP SE,349.68,983.3,985.22,450.9,4802,36.73,Nifty 50,Mid Cap
10/4/2024,Apple Inc.,543.48,634.68,1394.43,181.18,5652,387.85,Nifty Small Cap 50,Large Cap
7/8/2024,Zoom Video Communications,915.47,201.07,57.83,574.85,4469,84.96,Nifty 100,Small Cap
2/26/2023,Visa Inc.,1391.06,729.09,1193.13,78,8352,21.47,Nifty 50,Small Cap
7/15/2024,Mastercard Inc.,1384.55,1469.76,983.6,723.89,8373,295.6,Nifty 100,Mid Cap
6/27/2023,McDonald's Corp.,467.46,423.09,907.27,1006.98,3879,334.63,Nifty Small Cap 50,Small Cap
10/20/2023,Novartis AG,1116.65,780.63,518.45,792.1,4074,380.38,Nifty Small Cap 50,Mid Cap
2/15/2023,Marriott International,1174.5,187.43,546.12,1304.66,5540,44.8,Nifty Small Cap 50,Mid Cap
6/19/2023,American Airlines Group,1222.79,1485.25,1188.42,766.37,7819,86.69,Nifty 50,Small Cap
9/28/2023,Chevron Corp.,877.61,1779.26,1007.47,720.45,3210,91.98,Nifty MidSmall 40,Mid Cap
2/21/2024,Thermo Fisher Scientific,65.24,1201.78,948.33,499.03,5094,297.23,Nifty Next 50,Mid Cap
5/19/2023,PayPal Holdings Inc.,1154.43,197.86,71.99,1264.54,8399,444.97,Nifty MidSmall 40,Large Cap
9/4/2023,Delta Air Lines,204.57,552.61,282.52,1360.22,8006,353.51,Nifty 50,Large Cap
5/28/2023,Intel Corp.,219.46,961.17,1348.8,1467.98,3434,158.04,Nifty MidSmall 40,Small Cap
8/18/2023,Lockheed Martin,928.16,1237.03,652.49,1472.75,1121,426.73,Nifty 50,Large Cap
9/28/2024,LinkedIn Corporation,1476.1,1068.11,1100.51,1471.61,1980,335.23,Nifty Small Cap 50,Small Cap
12/4/2024,Cigna Corporation,401.68,1844.35,563.38,1082.34,3106,344.54,Nifty MidSmall 40,Small Cap
1/9/2024,Goldman Sachs Group,986.43,1886.48,1077.12,865.85,6577,478.72,Nifty 100,Small Cap
3/21/2023,Discover Financial,490.3,348.23,193.32,299.9,1315,475.23,Nifty MidSmall 40,Mid Cap
8/28/2024,Farmers Insurance,1353.15,406.02,87.72,1162.24,420,193.45,Nifty Small Cap 50,Small Cap
3/6/2023,Ford Motor Co.,910.6,812.4,668.66,1115.58,1151,318.28,Nifty 50,Large Cap
3/29/2023,3M Company,350.84,929.28,840.56,1271.48,3485,101.81,Nifty 100,Small Cap
3/29/2023,Ford Motor Co.,430.09,1234.22,473.47,720.55,6261,206.54,Nifty 50,Large Cap
12/13/2024,Snap Inc.,677.1,1580.35,1010.93,1344.01,3281,137.43,Nifty Small Cap 50,Mid Cap
12/26/2024,State Farm,226.96,401.17,709.27,1092.08,4828,184.32,Nifty MidSmall 40,Mid Cap
7/23/2023,American Airlines Group,164.16,1634.88,1301.79,298.13,7055,338.03,Nifty Small Cap 50,Large Cap
1/17/2024,Zoom Video Communications,1036.09,1278.55,146.44,350.01,7816,105.91,Nifty MidSmall 40,Large Cap
8/23/2024,Uber Technologies Inc.,640.39,1964.64,121.2,1230.69,1638,90.98,Nifty MidSmall 40,Small Cap
4/20/2024,American Airlines Group,1103.03,1354.66,1270.02,667.26,6513,190.29,Nifty Small Cap 50,Large Cap
7/26/2024,Unilever PLC,209.58,1474.77,946.68,411.07,6378,49.97,Nifty MidSmall 40,Large Cap
8/28/2024,AT&T Inc.,934.31,511.14,949.43,662.74,2548,407.13,Nifty 50,Small Cap
6/22/2024,Netflix Inc.,692.79,1572.39,67.75,284,1618,479.29,Nifty 50,Mid Cap
8/2/2023,Progressive Corporation,134.1,296.64,1314.62,1343.02,5302,400.87,Nifty Next 50,Small Cap
3/15/2023,Marriott International,839.96,1364.58,1087.4,153.73,1842,266.17,Nifty Next 50,Small Cap
3/2/2023,Cigna Corporation,170.07,252.81,1077.11,562.2,9994,337.39,Nifty Next 50,Small Cap
11/28/2024,Starbucks Corp.,1250.19,363.17,1279.34,857.55,4274,402.98,Nifty Next 50,Mid Cap
6/26/2024,American International Group,966.34,349.55,822.07,1316.79,1431,35.05,Nifty 50,Large Cap
8/7/2023,Visa Inc.,857.6,247.1,570.69,1183.25,9341,209.64,Nifty 100,Mid Cap
1/12/2023,LinkedIn Corporation,243.53,744.11,688.53,82.51,2314,72.75,Nifty MidSmall 40,Mid Cap
2/19/2024,Nike Inc.,466.81,1989.55,1094.82,1246.61,8976,46.28,Nifty 100,Mid Cap
2/1/2023,Chevron Corp.,764.67,794.22,1083.16,975.27,9858,379.73,Nifty MidSmall 40,Mid Cap
6/9/2023,Berkshire Hathaway,968.26,1557.44,865.13,243.36,560,429.18,Nifty 50,Large Cap
8/25/2023,Adobe Inc.,315.68,394.79,328.77,945.34,9355,42.81,Nifty 50,Mid Cap
6/30/2023,JPMorgan Chase & Co.,62.86,990.81,1151.87,1235.95,4040,90.22,Nifty Small Cap 50,Small Cap
7/11/2024,Anthem Inc.,549.9,492.46,916.72,923.06,3764,111.19,Nifty Small Cap 50,Mid Cap
12/7/2023,Caterpillar Inc.,750.16,505.38,333.13,1498.76,2321,428.62,Nifty 100,Large Cap
4/2/2024,BNP Paribas,317.43,334.43,688.48,785.15,6830,456.87,Nifty MidSmall 40,Mid Cap
3/21/2023,BNP Paribas,763.64,949.28,1396.17,1026.04,6797,382.72,Nifty Next 50,Mid Cap
10/8/2024,Qualcomm Inc.,540.8,289.74,479.88,152.04,3268,398.39,Nifty Small Cap 50,Mid Cap
4/17/2024,Raytheon Technologies,709.88,1833.15,189.69,1229.14,8458,172,Nifty 100,Large Cap
11/1/2024,Farmers Insurance,553.81,978.62,59.68,954.95,6441,204.75,Nifty MidSmall 40,Large Cap
12/15/2024,Airbnb Inc.,961.28,1701.35,282.95,863.8,7882,140.96,Nifty Small Cap 50,Mid Cap
4/22/2023,Walt Disney Co.,112.2,1962.01,286.14,1077.77,6683,479.23,Nifty Small Cap 50,Mid Cap
10/19/2023,Twitter Inc.,297.81,1403.89,1205.55,862.74,658,364.1,Nifty 100,Small Cap
9/22/2024,Spotify Technology SA,677.49,1817.79,243.93,1161.35,3849,171.33,Nifty Small Cap 50,Large Cap
1/18/2024,Booking Holdings,566.63,400.43,1211.83,896.1,1653,68.7,Nifty 100,Large Cap
1/17/2023,Unilever PLC,617.87,1685.49,148.8,804.08,4709,98.21,Nifty 100,Mid Cap
5/7/2024,Morgan Stanley,1215.45,651.75,1272.1,245.78,7884,102.84,Nifty Next 50,Large Cap
11/27/2023,American International Group,1335.18,1024.31,381.2,734.15,5321,307.79,Nifty MidSmall 40,Mid Cap
4/30/2024,IBM Corp.,410.57,1346.18,867.75,830.44,5401,451.58,Nifty 50,Large Cap
2/10/2024,Apple Inc.,1262.77,1821.56,248.83,955.63,2561,434.47,Nifty Next 50,Mid Cap
4/27/2023,Apple Inc.,715.25,1835.34,564.38,711.04,2638,35.79,Nifty Next 50,Mid Cap
7/8/2024,LinkedIn Corporation,447.04,320.39,147.5,262.63,7483,354.82,Nifty 50,Large Cap
4/25/2023,Apple Inc.,1478.91,824.43,823.95,268.03,5991,84.68,Nifty MidSmall 40,Small Cap
7/2/2024,Ford Motor Co.,1245.96,1617.37,503.85,1095.43,3690,155.87,Nifty MidSmall 40,Mid Cap
9/16/2024,State Farm,1491.67,1450.84,1197.45,1009.1,1856,272.36,Nifty 100,Mid Cap
6/30/2024,JPMorgan Chase & Co.,293.88,198.75,279.09,426.27,6996,420.62,Nifty 100,Large Cap
10/5/2024,Cigna Corporation,258.57,982.3,413.58,696.49,2831,119.14,Nifty 50,Large Cap
12/2/2023,Gilead Sciences,779.9,1684.12,272.84,495.09,8272,437.04,Nifty Small Cap 50,Large Cap
12/2/2023,Twitter Inc.,976.03,1514.72,802.44,312.48,7472,367.64,Nifty 50,Mid Cap
5/27/2023,Nikon Corporation,298.04,911.92,183.09,522.94,8779,337.46,Nifty Small Cap 50,Large Cap
5/2/2023,Bristol-Myers Squibb,1297.62,1510.05,289.42,430.9,2048,67.32,Nifty Next 50,Mid Cap
3/22/2023,LinkedIn Corporation,821.42,1169.74,959.53,169.52,468,237.64,Nifty MidSmall 40,Small Cap
11/15/2024,Delta Air Lines,645.87,1838.36,131.95,781.51,1058,138.29,Nifty 50,Mid Cap
10/27/2024,Liberty Mutual,922.98,1236.19,1048.13,703.78,8549,294.48,Nifty MidSmall 40,Small Cap
10/23/2024,Procter & Gamble,970.68,891.36,172.94,1086.18,6963,337.13,Nifty MidSmall 40,Mid Cap
1/10/2024,Paychex Inc.,112.04,1746.4,832.12,949.44,9927,33.62,Nifty Next 50,Mid Cap
7/23/2024,Mastercard Inc.,1499.84,242.26,1397,547.9,7371,322.45,Nifty Next 50,Large Cap
3/4/2023,Boeing Co.,577.68,1815.94,268.23,769.64,8268,249.56,Nifty MidSmall 40,Small Cap
5/18/2024,Microsoft Corp.,139.24,1438.24,387.69,827.32,8770,419.51,Nifty 50,Small Cap
10/29/2024,Boston Scientific,1285.87,1890.12,1260.84,1380.45,4435,396.84,Nifty Small Cap 50,Mid Cap
3/24/2024,PayPal Holdings Inc.,1489.88,613.43,888.01,1473.46,2515,207.07,Nifty Small Cap 50,Large Cap
3/3/2024,McDonald's Corp.,1233.72,1435.6,704.77,1232.54,7558,488.13,Nifty MidSmall 40,Small Cap
3/2/2024,Twilio Inc.,1285.23,1647.51,800.91,865.05,3669,293.87,Nifty MidSmall 40,Small Cap
2/25/2024,General Electric,957.61,1448.89,434.83,1395.75,8579,481.86,Nifty 50,Mid Cap
11/18/2023,Twilio Inc.,1387.37,539.12,1201.79,308.26,9978,359.91,Nifty Small Cap 50,Large Cap
11/10/2024,Walmart Inc.,101.82,659.84,1051.02,1059.92,4329,204.37,Nifty Small Cap 50,Small Cap
6/15/2023,Uber Technologies Inc.,1161.75,1198.47,910.18,717.68,6016,117.66,Nifty Next 50,Large Cap
8/19/2024,PayPal Holdings Inc.,1022.53,976.49,1306.49,259.89,6050,233.24,Nifty 50,Mid Cap
10/10/2024,Johnson & Johnson,121.9,1509.97,822.01,159.05,9769,468.09,Nifty MidSmall 40,Mid Cap
4/5/2024,GlaxoSmithKline,838.76,850.55,731.27,747.08,4420,65.98,Nifty Next 50,Mid Cap
4/3/2024,Cisco Systems Inc.,796.84,1740.04,1366.7,396.51,2784,230.7,Nifty 100,Large Cap
7/8/2023,Berkshire Hathaway,1052.72,949.05,312.24,413.23,2131,174.09,Nifty Small Cap 50,Mid Cap
4/8/2024,Walt Disney Co.,162.42,224.08,224.5,514.31,2996,433.77,Nifty 100,Large Cap
1/14/2024,Abbott Laboratories,1217.65,182.12,252.33,1091.63,999,402.22,Nifty 50,Large Cap
1/2/2023,Abbott Laboratories,252.13,1346.47,1385.54,287.93,5021,276.52,Nifty Next 50,Large Cap
9/9/2024,Merck & Co.,657.06,1150.02,923.58,1090.46,6146,208.12,Nifty 100,Large Cap
12/30/2023,American Airlines Group,1327.87,1154.08,449.11,1184.93,7161,342.41,Nifty Small Cap 50,Mid Cap
3/13/2023,Airbnb Inc.,862.77,1611.52,371.1,912,510,476.59,Nifty MidSmall 40,Large Cap
3/2/2024,Morgan Stanley,600.41,845.08,107.59,408.96,8665,51.48,Nifty MidSmall 40,Small Cap
9/29/2024,Prudential Financial,119.89,1991.58,210.77,124.72,4279,449.51,Nifty 100,Large Cap
6/19/2023,Walt Disney Co.,1024.8,1899.23,1274.2,641.52,581,147.82,Nifty 50,Large Cap
7/24/2023,Nikon Corporation,1480.49,173.98,1053.86,1278.8,7610,3.1,Nifty Small Cap 50,Large Cap
12/3/2023,Cigna Corporation,1372.1,1807.12,1319.94,197.71,8271,370.76,Nifty MidSmall 40,Small Cap
4/16/2024,Mastercard Inc.,1090.08,1409.02,610.51,1130,371,394.42,Nifty 50,Large Cap
7/14/2023,Hilton Worldwide,202.67,1078.87,853.7,728.44,3635,153.07,Nifty 100,Large Cap
10/31/2024,Siemens AG,397.19,1228.08,692.63,1353.31,4714,389.45,Nifty Small Cap 50,Mid Cap
10/14/2024,Progressive Corporation,320.93,1707.44,1237.5,566.49,3174,399.21,Nifty Small Cap 50,Small Cap
10/2/2023,JPMorgan Chase & Co.,565.42,1909.42,1388.19,1071.89,9108,337.98,Nifty MidSmall 40,Large Cap
1/7/2023,American Airlines Group,391.5,1186.62,1307.9,1123.17,8279,20.28,Nifty Small Cap 50,Large Cap
7/19/2024,Paychex Inc.,404.44,485.39,849.34,338.18,896,334.04,Nifty 100,Large Cap
9/7/2024,Delta Air Lines,944.26,1333.54,114.67,279.31,8266,466.27,Nifty MidSmall 40,Small Cap
7/26/2024,JPMorgan Chase & Co.,512.12,291.01,876.01,184.46,7655,310.54,Nifty 50,Small Cap
8/21/2024,Walt Disney Co.,1031.89,1325.01,162.95,1067.29,2634,184.09,Nifty MidSmall 40,Mid Cap
6/27/2023,BNP Paribas,1424.44,1645.93,220.19,844.82,1291,282.18,Nifty Next 50,Large Cap
8/30/2023,PayPal Holdings Inc.,975.79,803.66,292.14,175.74,1036,496.58,Nifty MidSmall 40,Small Cap
7/22/2023,AstraZeneca,1139.9,281.69,527.99,497.08,6197,236.82,Nifty Next 50,Small Cap
6/26/2024,Bristol-Myers Squibb,1139.79,1430.62,840.75,256.4,122,420.93,Nifty 50,Mid Cap
4/6/2024,BNP Paribas,529.52,777.76,486.97,184.39,3303,70.13,Nifty Small Cap 50,Large Cap
3/21/2023,Southwest Airlines,71.69,610.83,649.61,483.22,551,29.18,Nifty MidSmall 40,Mid Cap
6/6/2024,Visa Inc.,129.82,1424.99,94.79,189.63,373,195.68,Nifty Next 50,Small Cap
2/21/2024,Caterpillar Inc.,458.99,1943.73,879.07,427.27,1124,69.75,Nifty MidSmall 40,Large Cap
1/19/2024,Zoom Video Communications,1049.84,1528.85,930.13,851.44,8457,165.93,Nifty 100,Large Cap
1/26/2024,General Electric,1364.69,1059,166.16,863.31,6653,358,Nifty Small Cap 50,Large Cap
11/18/2024,Siemens AG,1440.26,1260.94,1105.61,293.6,8588,223.3,Nifty 50,Large Cap
5/6/2023,Google LLC,87.48,413.22,917.02,326.97,7956,161.29,Nifty Small Cap 50,Mid Cap
5/8/2024,Verizon Communications,1485.63,1654.44,700.93,1289.71,8120,445.86,Nifty 100,Large Cap
2/16/2023,Carnival Corporation,517.62,1267.95,787.42,292.06,7896,5.7,Nifty 100,Mid Cap
12/18/2024,American International Group,1272.29,1936.79,719.17,116.33,9228,407.2,Nifty 100,Small Cap
4/20/2024,Lockheed Martin,311.43,1962.04,103.7,404.99,8387,311.01,Nifty MidSmall 40,Large Cap
9/10/2024,Travelers Companies,141.2,805.99,1037.15,885.82,670,24.18,Nifty Next 50,Large Cap
4/8/2024,Hilton Worldwide,598.62,1978.81,731.18,60.48,8432,18.04,Nifty 50,Small Cap
5/3/2023,Amgen Inc.,1295.44,1920.14,266.77,1478.23,5536,86.78,Nifty Small Cap 50,Mid Cap
4/18/2024,Unilever PLC,370.2,1333.69,962.6,384.06,6806,488.73,Nifty Small Cap 50,Large Cap
5/14/2023,Chevron Corp.,273.24,766.91,982.24,395.27,866,43.77,Nifty 50,Mid Cap
9/10/2024,Facebook Inc.,1369.22,1543.68,322.49,1121,1726,369.69,Nifty Next 50,Large Cap
7/15/2024,AT&T Inc.,1410.59,651.79,1121.2,409.86,9124,201.39,Nifty MidSmall 40,Large Cap
8/29/2024,Twitter Inc.,68.19,1315.21,655.41,624.42,6420,119.09,Nifty MidSmall 40,Mid Cap
1/23/2023,Medtronic PLC,1104.78,195.48,277.44,838.68,4810,287.93,Nifty 100,Large Cap
7/19/2024,Abbott Laboratories,498.35,1312.88,930.94,81.72,753,184.73,Nifty 100,Small Cap
8/23/2023,Adobe Inc.,593.32,1910.48,847.52,1264.07,8433,155.78,Nifty 50,Mid Cap
2/28/2023,Twitter Inc.,730.2,585.01,263.46,792.47,5934,120.57,Nifty 50,Large Cap
6/13/2023,Intel Corp.,668.85,1589.63,1225.12,503.73,5724,229.45,Nifty 50,Large Cap
8/4/2023,Goldman Sachs Group,796.71,692.83,1200.71,629.69,6142,85.63,Nifty 100,Small Cap
7/2/2023,HSBC Holdings PLC,894.42,1459.52,1175.66,130.95,2977,426.12,Nifty 100,Mid Cap
7/22/2024,Allstate Corporation,725.11,1444.95,576.94,1091.07,4706,296.28,Nifty Small Cap 50,Large Cap
10/18/2024,Johnson & Johnson,1067.27,491.76,1159.73,832.28,3625,32.38,Nifty Next 50,Mid Cap
3/31/2023,Johnson & Johnson,1091.97,1254.69,1187.37,1375.29,5494,229.06,Nifty Next 50,Mid Cap
11/7/2023,Pfizer Inc.,688.52,1739.46,1395.26,723.07,4655,315.17,Nifty Small Cap 50,Large Cap
7/10/2024,Palantir Technologies,256.57,857.69,1341.92,1251.18,9482,430.94,Nifty Small Cap 50,Small Cap
9/14/2023,Unilever PLC,978.93,1464.01,554.5,323.08,7255,12.72,Nifty 50,Large Cap
6/16/2024,McDonald's Corp.,1170.79,1397.7,301.54,131.94,483,228.68,Nifty MidSmall 40,Large Cap
6/16/2024,Travelers Companies,975.26,626.4,430.67,1425.24,2298,353.21,Nifty MidSmall 40,Large Cap
2/21/2023,Uber Technologies Inc.,902.68,1849.49,707.85,422.59,5467,98.87,Nifty 100,Large Cap
12/4/2023,Facebook Inc.,382.65,1192.5,1133.48,1258.7,670,111.45,Nifty Next 50,Small Cap
6/20/2023,Boeing Co.,985.45,807.29,1020.49,423.13,2742,245.35,Nifty 50,Mid Cap
3/8/2023,Procter & Gamble,535.54,454.06,1109.17,275.97,5321,442.36,Nifty Next 50,Small Cap
